Index,Country,Adults,Median wealth,Mean wealth,Gini %,Continent
138,Switzerland,7003000,168084,696604,77.2,Europe
139,Syria,11449000,556,1562,77.8,Asia
140,Tajikistan,5337000,1938,4597,72.8,Asia
141,Tanzania,28690000,1671,4260,74.4,Africa
142,Thailand,54411000,8662,24638,77.1,Asia
143,East Timor,708000,3257,5849,62.7,Asia
144,Togo,4207000,488,1518,81.5,Africa
145,Tonga,59000,15409,44014,77.7,Oceania
146,Trinidad and Tobago,1037000,21049,49567,75.7,South America
147,Tunisia,8294000,7384,20981,78.0,Africa
148,Turkey,58575000,5964,19496,81.0,Asia
149,Turkey,58575000,5964,19496,81.0,Europe
150,Turkmenistan,3782000,9168,20588,70.5,Asia
151,Uganda,20620000,664,2387,82.8,Africa
152,Ukraine,34382000,4987,19742,83.4,Europe
153,United Arab Emirates,8092000,23055,122841,88.5,Asia
154,United Kingdom,52562000,141552,309375,70.6,Europe
155,Uruguay,2545000,22519,57726,77.4,South America
156,Vanuatu,165000,4953,16374,81.4,Oceania
157,Venezuela,18798000,10948,28243,77.8,South America
158,Vietnam,69176000,4987,14246,79.7,Asia
159,Yemen,15760000,1697,7808,88.3,Asia
160,Zambia,8655000,653,3084,88.6,Africa
161,Zimbabwe,7264000,3164,9791,79.7,Africa
